date,total_trades,winning_trades,win_rate,total_pnl,best_trade,worst_trade,total_signals
2026-05-16,0,0,0.0%,0.0,0,0,0
2026-05-17,0,0,0.0%,0.0,0,0,19
2026-05-17,0,0,0.0%,0.0,0,0,14
2026-05-17,0,0,0.0%,0.0,0,0,1
2026-05-17,2,0,0.0%,-0.231827806,0,0,8
2026-05-18,0,0,0.0%,0.0,0,0,4
2026-05-19,0,0,0.0%,0.0,0,0,2
2026-05-19,0,0,0.0%,0.0,0,0,0
2026-05-19,1,1,100.0%,-0.015353777,0,0,4
2026-05-19,1,1,100.0%,0.078978471,0,0,13
2026-05-19,2,1,50.0%,0.049083134,0,0,26
2026-05-19,1,1,100.0%,-0.019417533,0,0,2
2026-05-19,1,1,100.0%,-0.018664499,0,0,2
2026-05-19,0,0,0.0%,0.0,0,0,1
2026-05-19,0,0,0.0%,0.0,0,0,0
2026-05-19,0,0,0.0%,0.0,0,0,12
2026-05-20,0,0,0.0%,0.0,0,0,0
2026-05-20,0,0,0.0%,0.0,0,0,0
2026-05-20,0,0,0.0%,0.0,0,0,0
2026-05-20,0,0,0.0%,0.0,0,0,0
2026-05-20,0,0,0.0%,0.0,0,0,0
2026-05-21,0,0,0.0%,0.0,0,0,4
2026-05-21,0,0,0.0%,-0.017141505,0,0,3
2026-05-21,0,0,0.0%,0.0,0,0,1
2026-05-21,0,0,0.0%,0.0,0,0,8
2026-05-21,0,0,0.0%,0.0,0,0,1
2026-05-21,0,0,0.0%,0.0,0,0,0
2026-05-21,0,0,0.0%,0.0,0,0,0
2026-05-21,0,0,0.0%,0.0,0,0,0
2026-05-21,0,0,0.0%,0.0,0,0,0
2026-05-21,0,0,0.0%,0.0,0,0,0
2026-05-22,0,0,0.0%,0.0,0,0,3
2026-05-22,0,0,0.0%,0.0,0,0,2
2026-05-22,0,0,0.0%,0.0,0,0,2
2026-05-22,0,0,0.0%,0.0,0,0,0
2026-05-22,0,0,0.0%,0.0,0,0,0
2026-05-22,0,0,0.0%,0.0,0,0,3
2026-05-22,0,0,0.0%,0.0,0,0,3
2026-05-22,0,0,0.0%,0.0,0,0,3
2026-05-22,1,0,0.0%,-2.009536711,0,0,3
2026-05-22,1,0,0.0%,-2.00426163,0,0,3
2026-05-23,1,0,0.0%,-0.60467212,0,0,3
2026-05-23,0,0,0.0%,0.0,0,0,1
2026-05-23,0,0,0.0%,0.0,0,0,0
2026-05-23,0,0,0.0%,0.0,0,0,0
2026-05-24,0,0,0.0%,0.0,0,0,3
2026-05-24,1,1,100.0%,-0.55177642,0,0,68
2026-05-24,3,2,66.7%,-1.635593451,0,0,152
2026-05-30,0,0,0.0%,0.0,0,0,0
2026-05-31,0,0,0.0%,0.0,0,0,6
2026-05-31,0,0,0.0%,0.0,0,0,3
2026-06-04,0,0,0.0%,54396.32,0,0,3
2026-06-04,0,0,0.0%,54646.31,0,0,3
2026-06-04,0,0,0.0%,-105.88,0,0,2
2026-06-04,0,0,0.0%,-225.39,0,0,2
